dish_id,food_id,grams,note,vai_tro
VN-CANH-BI-XANH,3012,100.00,Canh,
VN-CANH-BI-XANH,137,1.94,Nước mắm — tiết chế 150 mg Na (canh),
VN-CANH-CAI-THAO,70,100.00,Canh,
VN-CANH-CAI-THAO,137,1.94,Nước mắm — tiết chế 150 mg Na (canh),
VN-CANH-MUOP,93,100.00,Canh,
VN-CANH-MUOP,137,1.94,Nước mắm — tiết chế 150 mg Na (canh),
VN-CANH-CAI-XANH,69,100.00,Canh,
VN-CANH-CAI-XANH,137,1.94,Nước mắm — tiết chế 150 mg Na (canh),
VN-RAU-MUONG-LUOC,65,170.00,Rau,
VN-RAU-MUONG-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-CAI-NGOT-LUOC,68,170.00,Cải,
VN-CAI-NGOT-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-SU-SU-LUOC,89,170.00,Su,
VN-SU-SU-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-BI-XANH-LUOC,3012,170.00,Bí,
VN-BI-XANH-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-CAI-THAO-LUOC,70,170.00,Cải,
VN-CAI-THAO-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-CAI-BAP-LUOC,71,170.00,Cải,
VN-CAI-BAP-LUOC,137,0.65,Nước mắm — tiết chế 50 mg Na (luộc),
VN-SU-SU-XAO,89,150.00,Su,
VN-SU-SU-XAO,129,5.00,Dầu ăn,
VN-SU-SU-XAO,151,3.00,Tỏi,
VN-SU-SU-XAO,137,2.33,Nước mắm — tiết chế 180 mg Na (xào),
VN-BI-XANH-XAO,3012,130.00,Bí,
VN-BI-XANH-XAO,129,5.00,Dầu ăn,
VN-BI-XANH-XAO,151,3.00,Tỏi,
VN-BI-XANH-XAO,137,2.33,Nước mắm — tiết chế 180 mg Na (xào),
VN-GIA-XAO,62,130.00,Giá,
VN-GIA-XAO,129,5.00,Dầu ăn,
VN-GIA-XAO,151,3.00,Tỏi,
VN-GIA-XAO,137,2.33,Nước mắm — tiết chế 180 mg Na (xào),
VN-CAI-THAO-XAO,70,150.00,Cải,
VN-CAI-THAO-XAO,129,5.00,Dầu ăn,
VN-CAI-THAO-XAO,151,3.00,Tỏi,
