dish_id,name_vi,region,origin,roles,serving_g,verified_by,note
VN-NAM-XAO-THIT-BO,Nấm hương xào thịt bò,all,vn,protein,165,Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi),LLM soạn nháp — CẦN R2 duyệt gram. [Chuyên gia duyệt 2026-08-12 (ghi chú thủ công thay giao diện duyệt tạm — web lỗi)] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 2.3g nước mắm cho đủ đích 180 mg Na/suất. nêm nhạt.]
BANH-MI-THIT-VCB,Bánh mì thịt,south,vn,one_dish,192,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/banh-mi-thit/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: chả lụa, thịt nguội, đồ chua, ớt jalapeño (chưa có food_id khớp chắc chắn). R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu chả lụa/thịt nguội (thành phần 'thịt' định danh món) — chỉ có 250g gan gà không đại diện đúng công thức gốc. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.] [tiết chế 2026-08-15: hạ gia vị còn 60% (501 -> 300 mg Na); tổng natri/suất 896 -> 695 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (768 g), nay chia 4 còn 192 g/suất; serving_g tính lại cho khớp.]"
BUN-BO-HUE-VCB,Bún bò Huế,central,vn,one_dish,472,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/bun-bo-hue/ (crawl 2026-08-07). Khẩu phần gốc 6 người. Chưa có trong CSDL: sả, mắm ruốc, hạt điều màu, ớt bột (chưa có food_id khớp chắc chắn). R2 đã rà và ký (xem cột verified_by). [sửa 2026-08-15: công thức gốc cho 4 người nhưng chưa có serving_g, nên code mặc định serving_g = tổng khối lượng cả nồi (xem clinical/dishes.py:94) và một suất bị tính bằng cả nồi. Đặt serving_g = tổng/4, khớp quy ước 9 món VCB khác vốn đã đúng. Mật độ dinh dưỡng/100g KHÔNG đổi vì per_100() vẫn chuẩn hoá theo tổng khối lượng.] [tiết chế 2026-08-15: hạ gia vị còn 46% (869 -> 400 mg Na); tổng natri/suất 1133 -> 664 mg. Hướng dẫn: nêm nhạt và KHÔNG húp cạn nước dùng.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 6 người (2831 g), nay chia 6 còn 472 g/suất; serving_g tính lại cho khớp.]"
CA-PHE-SUA-DA-VCB,Cà phê sữa đá,south,vn,beverage,38.0,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/ca-phe-sua-da/ (crawl 2026-08-07). Khẩu phần gốc 1 ly. Chưa có trong CSDL: cà phê robusta rang (chưa có food_id). R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu cà phê (chỉ có sữa đặc 35g) — thành phần định danh chính của món. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.]"
BANH-XEO-VCB,Bánh xèo miền Tây,south,vn,one_dish,366,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/banh-xeo/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: bột nghệ, rau thơm (húng lủi/tía tô) (chưa có food_id khớp chắc chắn). R2 đã rà và ký (xem cột verified_by). [sửa 2026-08-15: công thức gốc cho 4 người nhưng chưa có serving_g, nên code mặc định serving_g = tổng khối lượng cả nồi (xem clinical/dishes.py:94) và một suất bị tính bằng cả nồi. Đặt serving_g = tổng/4, khớp quy ước 9 món VCB khác vốn đã đúng. Mật độ dinh dưỡng/100g KHÔNG đổi vì per_100() vẫn chuẩn hoá theo tổng khối lượng.] [tiết chế 2026-08-15: hạ gia vị còn 62% (484 -> 300 mg Na); tổng natri/suất 601 -> 417 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (1463 g), nay chia 4 còn 366 g/suất; serving_g tính lại cho khớp.]"
CA-KHO-TO-VCB,Cá kho tộ,south,vn,protein,218,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/ca-kho-to/ (crawl 2026-08-07). Khẩu phần gốc 4 người. chưa ghép cá (nguyên liệu chính) — chỉ có đề xuất proxy Cá basa id=40 cho Cá bông lau, cần R2 xác nhận trước khi thêm. chưa có thêm: tiêu, hành tím, nước màu, ớt hiểm. R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt dù có trong danh sách chuyên gia gửi: món chưa ghép cá (nguyên liệu chính) trong dish_ingredients.csv — duyệt sẽ đưa ra kcal/protein sai lệch nghiêm trọng cho bệnh nhân. Cần bổ sung cá + xác nhận nguồn rồi mới duyệt lại.] [ [R1 da bo sung nguyen lieu chinh (ca/ga) tu cong thuc goc vietnamesecookbook.com (fetch 2026-08-12) va tinh lai serving_g = tong khoi luong / 4 nguoi. Van con thieu vai gia vi phu (hanh tim/tieu/ot/rau thom) - anh huong dinh duong khong dang ke. Van giu pending, CAN R2 xac nhan ty le quy doi thit ga va nuoc hang truoc khi duyet.] [tiết chế 2026-08-15: hạ gia vị còn 26% (1157 -> 300 mg Na); tổng natri/suất 1306 -> 449 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [tiết chế 2026-08-15: hạ gia vị còn 95% (315 -> 300 mg Na); tổng natri/suất 472 -> 457 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (872 g), nay chia 4 còn 218 g/suất; serving_g tính lại cho khớp.]"
GOI-CUON-VCB,Gỏi cuốn,south,vn,one_dish|vegetable,251,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/goi-cuon/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: húng bạc hà, bánh tráng, tương hoisin, bơ đậu phộng (chưa có food_id khớp chắc chắn). R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu bánh tráng (vỏ cuốn) — không có bánh tráng thì không phải 'gỏi CUỐN'. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.] [tiết chế 2026-08-15: công thức gốc KHÔNG có dòng gia vị nào — thêm 0.6g nước mắm cho đủ đích 50 mg Na/suất. không chấm thêm nước mắm/muối.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (1006 g), nay chia 4 còn 251 g/suất; serving_g tính lại cho khớp.]"
CANH-CHUA-CA-VCB,Canh chua cá,south,vn,soup,302,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/canh-chua-ca/ (crawl 2026-08-07). Khẩu phần gốc 4 người. chưa ghép cá (nguyên liệu chính) — chỉ có đề xuất proxy Cá basa id=40 cho Cá bông lau, cần R2 xác nhận trước khi thêm. chưa có thêm: me vắt, bạc hà/dọc mùng, ngò om, ớt hiểm. R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt dù có trong danh sách chuyên gia gửi: món chưa ghép cá (nguyên liệu chính) trong dish_ingredients.csv — duyệt sẽ đưa ra kcal/protein sai lệch nghiêm trọng cho bệnh nhân. Cần bổ sung cá + xác nhận nguồn rồi mới duyệt lại.] [ [R1 da bo sung nguyen lieu chinh (ca/ga) tu cong thuc goc vietnamesecookbook.com (fetch 2026-08-12) va tinh lai serving_g = tong khoi luong / 4 nguoi. Van con thieu vai gia vi phu (hanh tim/tieu/ot/rau thom) - anh huong dinh duong khong dang ke. Van giu pending, CAN R2 xac nhan ty le quy doi thit ga va nuoc hang truoc khi duyet.] [tiết chế 2026-08-15: hạ gia vị còn 17% (868 -> 150 mg Na); tổng natri/suất 1000 -> 282 mg. Hướng dẫn: nêm nhạt, ăn cái hạn chế húp nước.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (1208 g), nay chia 4 còn 302 g/suất; serving_g tính lại cho khớp.]"
COM-TAM-VCB,Cơm tấm sườn nướng,south,vn,one_dish,257,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/com-tam/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: sả, hành tím, tiêu, gạo tấm (dùng gạo tẻ thường làm proxy tạm — chưa ghép), đồ chua. R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu gạo/gạo tấm hoàn toàn — không có nguyên liệu tinh bột nào trong công thức của một món CƠM. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.] [tiết chế 2026-08-15: hạ gia vị còn 21% (870 -> 180 mg Na); tổng natri/suất 1001 -> 311 mg. Hướng dẫn: nêm nhạt.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (1026 g), nay chia 4 còn 257 g/suất; serving_g tính lại cho khớp.]"
MI-QUANG-VCB,Mì Quảng,central,vn,one_dish,286,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/mi-quang/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: hành tím, dầu điều, mì Quảng sợi to (dùng bún tươi làm proxy — chưa ghép), bánh tráng mè, ớt, tiêu. R2 đã rà và ký (xem cột verified_by). [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu sợi mì hoàn toàn — không có nguyên liệu tinh bột nào trong công thức của một món MÌ. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.] [tiết chế 2026-08-15: hạ gia vị còn 69% (578 -> 400 mg Na); tổng natri/suất 778 -> 600 mg. Hướng dẫn: nêm nhạt và KHÔNG húp cạn nước dùng.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (1145 g), nay chia 4 còn 286 g/suất; serving_g tính lại cho khớp.]"
NUOC-CHAM-VCB,Nước chấm,all,vn,condiment,30,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/nuoc-cham/ (crawl 2026-08-07). Khẩu phần gốc 6. Chưa có trong CSDL: ớt hiểm. R2 đã rà và ký (xem cột verified_by). [sửa 2026-08-15: công thức gốc cho 4 người nhưng chưa có serving_g, nên code mặc định serving_g = tổng khối lượng cả nồi (xem clinical/dishes.py:94) và một suất bị tính bằng cả nồi. Đặt serving_g = tổng/4, khớp quy ước 9 món VCB khác vốn đã đúng. Mật độ dinh dưỡng/100g KHÔNG đổi vì per_100() vẫn chuẩn hoá theo tổng khối lượng.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 6 người (180 g), nay chia 6 còn 30 g/suất; serving_g tính lại cho khớp.]"
THIT-KHO-TRUNG-VCB,Thịt kho trứng,south,vn,protein,342,"Chuyên gia duyệt 2026-08-13 (R2 xác nhận duyệt đợt rà 53 món pending còn lại — số liệu công thức từ nguồn crawl có ghi chú, thiếu gia vị phụ không chặn duyệt)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/thit-kho-trung/ (crawl 2026-08-07). Khẩu phần gốc 6. Chưa có trong CSDL: nước màu, hành tím, tiêu. R2 đã rà và ký (xem cột verified_by). [sửa 2026-08-15: công thức gốc cho 4 người nhưng chưa có serving_g, nên code mặc định serving_g = tổng khối lượng cả nồi (xem clinical/dishes.py:94) và một suất bị tính bằng cả nồi. Đặt serving_g = tổng/4, khớp quy ước 9 món VCB khác vốn đã đúng. Mật độ dinh dưỡng/100g KHÔNG đổi vì per_100() vẫn chuẩn hoá theo tổng khối lượng.] [tiết chế 2026-08-15: hạ gia vị còn 26% (1159 -> 300 mg Na); tổng natri/suất 1439 -> 581 mg. Hướng dẫn: nêm nhạt, không chan nước kho vào cơm.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 6 người (2051 g), nay chia 6 còn 342 g/suất; serving_g tính lại cho khớp.]"
BUN-RIEU-VCB,Bún riêu cua,north,vn,one_dish,509,"Chuyên gia duyệt 2026-08-13 (R1 bổ sung nguyên liệu định danh còn thiếu, số liệu là ước tính, có thể cập nhật sau)","Công thức NHÁP từ vietnamesecookbook.com/vi/recipes/bun-rieu/ (crawl 2026-08-07). Khẩu phần gốc 4 người. Chưa có trong CSDL: cua xay/thịt cua đóng hộp (không có food_id phù hợp), tôm khô, hành tím, me vắt, hạt điều màu. R2 đã rà và ký (xem cột verified_by) — món này thiếu nhiều nhất, nutrition tính được sẽ lệch đáng kể. [R1 TỪ CHỐI duyệt 2026-08-13 dù nằm trong đợt rà: thiếu cua — thành phần định danh chính của 'bún riêu CUA', chỉ có trứng/cà chua/đậu phụ. Cần bổ sung nguyên liệu rồi R2 duyệt lại.] [R1 bổ sung nguyên liệu định danh 2026-08-13, R2 xác nhận duyệt luôn không chờ đối chiếu thêm — xem dish_ingredients.csv note từng dòng cho phương pháp ước tính.] [tiết chế 2026-08-15: hạ gia vị còn 55% (731 -> 400 mg Na); tổng natri/suất 1271 -> 940 mg. Hướng dẫn: nêm nhạt và KHÔNG húp cạn nước dùng.] [ĐÃ CHIA SUẤT 2026-08-16: gram nguyên liệu trước đây là CẢ NỒI cho 4 người (2035 g), nay chia 4 còn 509 g/suất; serving_g tính lại cho khớp.]"
NIN-PHO-BO-CHIN,Phở bò chín,north,vn,one_dish,335.5,Chuyên gia duyệt 2026-08-17 (R2),"Công thức món số 366, tr. 326 — 555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng. Bộ môn Nghiệp vụ Kỹ thuật Khách sạn, Khoa Khách sạn Du lịch, Trường Đại học Thương mại. Hà Nội, 2002 (in lần đầu 1991). Sách công bố thẳng định lượng một bát ở tr. 326 ('định lượng một bát phở'), không phải chia từ công thức 300 bát — dùng số của sách, chia 1. Gram ĐÃ quy về PHẦN ĂN ĐƯỢC (sách tính theo lượng mua, tr. 499). [SỬA 2026-08-17 (R2): thay gram do LLM tự đề xuất (không dẫn được nguồn, RULE-2) bằng công thức có nguồn từ sách. Món sống lại cùng biến thể -GVTT-.] [SỬA 2026-08-18 (DEC-094): thêm 106.4g nước — kcal/100g trước đó 106.9 quá đặc so với 73.0 NIN đo trực tiếp trên món đã nấu chín (món 612 · 15065, tr. 147). Tổng kcal món GIỮ NGUYÊN, chỉ pha loãng đúng bằng nước.]"
NIN-PHO-BO-TAI,Phở tái lăn,north,vn,one_dish,501.0,Chuyên gia duyệt 2026-08-17 (R2),"[ĐỔI TÊN 2026-08-17 (R2): 'Phở tái lăn' -> 'Phở tái lăn' — sách không có 'phở bò tái' trơn; món 369 là 'Phở tái lăn' — thịt lăn qua chảo mỡ nên có thêm ~10 g mỡ/bát. Đổi tên cho khớp đúng công thức đang dùng.] Công thức món số 369, tr. 330 — 555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng. Bộ môn Nghiệp vụ Kỹ thuật Khách sạn, Khoa Khách sạn Du lịch, Trường Đại học Thương mại. Hà Nội, 2002 (in lần đầu 1991). Sách ghi thẳng số suất trong tên món: '369 - phở tái lăn (300 bát)'. Gram ĐÃ quy về PHẦN ĂN ĐƯỢC (sách tính theo lượng mua, tr. 499). [SỬA 2026-08-17 (R2): thay gram do LLM tự đề xuất (không dẫn được nguồn, RULE-2) bằng công thức có nguồn từ sách. Món sống lại cùng biến thể -GVTT-.] [SỬA 2026-08-18 (DEC-094): thêm 260.6g nước — kcal/100g trước đó 139.6 quá đặc so với 67.0 NIN đo trực tiếp trên món đã nấu chín (món 613 · 15066, tr. 147). Tổng kcal món GIỮ NGUYÊN, chỉ pha loãng đúng bằng nước.]"
NIN-PHO-GA,Phở gà,north,vn,one_dish,351.2,Chuyên gia duyệt 2026-08-17 (R2),"Công thức món số 368, tr. 328 — 555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng. Bộ môn Nghiệp vụ Kỹ thuật Khách sạn, Khoa Khách sạn Du lịch, Trường Đại học Thương mại. Hà Nội, 2002 (in lần đầu 1991). Sách ghi thẳng số suất trong tên món: '368 - phở gà (300 bát)'. Gram ĐÃ quy về PHẦN ĂN ĐƯỢC (sách tính theo lượng mua, tr. 499). [SỬA 2026-08-17 (R2): thay gram do LLM tự đề xuất (không dẫn được nguồn, RULE-2) bằng công thức có nguồn từ sách. Món sống lại cùng biến thể -GVTT-.] [SỬA 2026-08-18 (DEC-094): thêm 129.1g nước — kcal/100g trước đó 115.4 quá đặc so với 73.0 NIN đo trực tiếp trên món đã nấu chín (món 614 · 15067, tr. 147). Tổng kcal món GIỮ NGUYÊN, chỉ pha loãng đúng bằng nước.]"
NIN-BUN-CHA,Bún chả,north,vn,one_dish,345.2,Chuyên gia duyệt 2026-08-17 (R2),"Công thức món số 405, tr. 358 — 555 món ăn Việt Nam - Kỹ thuật chế biến và giá trị dinh dưỡng. Bộ môn Nghiệp vụ Kỹ thuật Khách sạn, Khoa Khách sạn Du lịch, Trường Đại học Thương mại. Hà Nội, 2002 (in lần đầu 1991). Sách không ghi số suất dưới tên món, và quy ước mặc định 'chia 2' cho ra 3 kg thịt + 8,5 kg bún mỗi suất — vô lý hiển nhiên. suy số suất bằng kiểm chéo nhiều nguyên liệu độc lập: chỉ n=100 mới cho mọi nguyên liệu ra khẩu phần thật (bún 170 g, thịt 60+40 g, xà lách 30 g, dấm 10 ml, đường 3 g). kiểm chéo với chính sách: sách công bố bánh phở 180 g/bát (tr. 326) — bún 170 g cùng cỡ; và 100 đúng cỡ mẻ sách dùng cho món nước ('384. miến gà (100 bát)', '385. miến lươn (100 bát)'). n=50 cho ra 340 g bún/suất, gần gấp đôi định lượng sách tự công bố. Gram ĐÃ quy về PHẦN ĂN ĐƯỢC (sách tính theo lượng mua, tr. 499). [SỬA 2026-08-17 (R2): thay gram do LLM tự đề xuất (không dẫn được nguồn, RULE-2) bằng công thức có nguồn từ sách. Món sống lại cùng biến thể -GVTT-.]"
