rule_id,condition_code,stages,nutrient,bound,value,unit,basis,severity,guideline_ref,guideline_grade,verify_status,evidence_level,risk_level,overridden_by,disabled_by_flag,requires_flag
HTN-FAT-01,HTN,,fat_g,max,25,%E,pct_energy,soft,"Sửa 2026-08-12 (xác minh): AHA KHÔNG đặt mốc %E cụ thể cho lipid — nhãn 'AHA' trước đây sai nguồn. Dùng Viện Dinh dưỡng, 'Nhu cầu dinh dưỡng khuyến nghị cho người Việt Nam' (Bộ Y tế/NIN 2016): lipid 20-25%E cho người trưởng thành — lấy cận trên 25% làm trần soft. R2 cần đối chiếu đúng trang trước khi verified",NIN-RDA,verified,secondary,P2,,,
CKD-PRO-01,CKD,"G3a,G3b,G4,G5",protein_g,max,0.8,g/kg,per_kg,soft,KDIGO 2024 Rec 3.3.1.1 - duy trì protein 0.8 g/kg/ngày ở CKD G3-G5 CHƯA lọc máu,2C,verified,secondary,P2,,"frailty_sarcopenia,metabolically_unstable,on_dialysis",
CKD-PRO-02,CKD,"G3a,G3b,G4,G5",protein_g,min,0.6,g/kg,per_kg,soft,KDOQI 2020 - giới hạn dưới 0.55-0.60 g/kg. KDIGO 2024 KHÔNG đặt mức tối thiểu; đây là lựa chọn có ý thức của dự án để phòng suy dinh dưỡng,1A,verified,secondary,P2,,"metabolically_unstable,on_dialysis",
CKD-PRO-05,CKD,"G3a,G3b,G4,G5",protein_g,max,1.3,g/kg,per_kg,soft,"KDIGO 2024 PP 3.3.1.1 - tránh protein cao > 1.3 g/kg/ngày ở CKD có nguy cơ tiến triển. Trần an toàn tuyệt đối, không bị vô hiệu bởi cờ nào [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",PP,verified,secondary,P1,,,
CKD-PRO-06,CKD,G5,protein_g,min,1.0,g/kg,per_kg,soft,"KDOQI 2020 (CLN-11, sửa 2026-08-12) - CKD G5D (lọc máu chu kỳ) ổn định chuyển hoá: protein 1.0-1.2 g/kg/ngày, CAO HƠN trần CKD-PRO-01 dành cho người CHƯA lọc máu. HD: grade 1C; PD: OPINION",1C/OPINION,verified,secondary,P2,,,on_dialysis
CKD-PRO-07,CKD,G5,protein_g,max,1.2,g/kg,per_kg,soft,"KDOQI 2020 (CLN-11, sửa 2026-08-12) - trần trên của dải mục tiêu 1.0-1.2 g/kg/ngày cho CKD G5D ổn định chuyển hoá, tránh nạp dư không cần thiết. HD: grade 1C; PD: OPINION. Trần an toàn tuyệt đối CKD-PRO-05 (1.3 g/kg) vẫn còn hiệu lực phía trên",1C/OPINION,verified,secondary,P2,,,on_dialysis
CKD-NA-01,CKD,"G1,G2,G3a,G3b,G4,G5",na_mg,max,2000,mg,absolute,soft,"KDIGO 2024 Rec 3.3.2.1 - natri < 2 g/ngày (< 90 mmol, < 5 g muối). Mức 2C (yếu) nhưng dự án CHỦ Ý đặt severity=hard: kiểm soát natri là trục chính của bài toán và nguy cơ tim mạch ở CKD là tích luỹ [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",2C,verified,secondary,P1,,sodium_wasting,
CKD-K-01,CKD,"G3a,G3b",k_mg,max,3000,mg,absolute,soft,"KDOQI 2020 Statement 3.5 (CLN-11, sửa 2026-08-12, grade trước đây ghi nhầm là C) - điều chỉnh kali khẩu phần để giữ kali máu trong ngưỡng bình thường; KHÔNG có mức chứng cứ phân theo giai đoạn, khuyến nghị này là OPINION, cần đánh giá lâm sàng cá nhân trước khi hạn chế [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",OPINION,verified,secondary,P1,,,
CKD-K-02,CKD,G4,k_mg,max,2500,mg,absolute,soft,"KDOQI 2020 Statement 3.5 (CLN-11, sửa 2026-08-12, grade trước đây ghi nhầm là C) - điều chỉnh kali khẩu phần để giữ kali máu trong ngưỡng bình thường; KHÔNG có mức chứng cứ phân theo giai đoạn, khuyến nghị này là OPINION, cần đánh giá lâm sàng cá nhân trước khi hạn chế [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",OPINION,verified,secondary,P1,,,
CKD-K-03,CKD,G5,k_mg,max,2000,mg,absolute,soft,"KDOQI 2020 Statement 3.5 (CLN-11, sửa 2026-08-12, grade trước đây ghi nhầm là C) - điều chỉnh kali khẩu phần để giữ kali máu trong ngưỡng bình thường; KHÔNG có mức chứng cứ phân theo giai đoạn, khuyến nghị này là OPINION, cần đánh giá lâm sàng cá nhân trước khi hạn chế [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",OPINION,verified,secondary,P1,,,
CKD-P-01,CKD,"G3a,G3b",p_mg,max,1000,mg,absolute,soft,"Sửa 2026-08-12 (xác minh): KDOQI 2020 mục phospho (Statement 6.3) KHÔNG đặt mốc mg/ngày cụ thể — chỉ khuyến nghị điều chỉnh khẩu phần theo phosphat huyết thanh (mục tiêu 2.5-4.5 mg/dL). Mốc 800-1000mg thuộc phiên bản KDOQI 2003 (Bone Metabolism), đã cũ — giữ tạm làm trần an toàn thực hành vì thiếu mốc mới hơn, R2 cần quyết định giữ/thay [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",C,verified,secondary,P1,,,
CKD-P-02,CKD,"G4,G5",p_mg,max,1000,mg,absolute,soft,"KDOQI Clinical Practice Guidelines for Nutrition in Chronic Renal Failure (2003), khuyến cáo hạn chế phospho 800-1000 mg/ngày cho người lớn CKD — KHÔNG tách mốc riêng theo giai đoạn. [R2 CHỐT 2026-08-16 (Q5 của docs/QUYET_DINH_CHO_R2.md): chọn B — đổi 900 mg về 1000 mg cho khớp nguồn thật, thay vì giữ một con số không truy được. Mốc 900 mg cũ ghi rõ trong chính guideline_ref là KHÔNG xác minh được ở bất kỳ tài liệu nào đã tra. Nay CKD-P-01 (G3a/G3b) và CKD-P-02 (G4/G5) cùng 1000 mg, cùng nguồn — hai rule vẫn giữ riêng để còn chỗ siết theo giai đoạn nếu sau này có nguồn phân tầng, nhưng không còn con số vô căn cứ nào.] [R2 CHỐT 2026-08-17: hạ severity hard->soft, risk_level->P1 (rule không liên quan trực tiếp ĐTĐ2 — CKD/HTN/GOUT). Lý do: dự án trọng tâm ĐTĐ2 (CLAUDE.md), các rule bệnh đồng mắc vẫn TÍNH & PHÁT HIỆN xung đột như cũ (compute_targets/DEC-007 không thu hẹp), nhưng không còn CHẶN PHÁT HÀNH toàn bộ hồ sơ/dữ liệu — chỉ còn cảnh báo cho chuyên gia khi đồng mắc ĐTĐ2. Ngưỡng/công thức giữ nguyên, không đổi giá trị lâm sàng.]",C,verified,unsourced,P1,,,
GOUT-NA-01,GOUT,,na_mg,max,2000,mg,absolute,soft,"Sửa 2026-08-12: chưa tìm được văn bản Bộ Y tế có số hiệu cụ thể cho chế độ ăn bệnh gout. Giá trị 2000mg trùng khớp BASE-NA-01 (WHO 2012) — có thể đây chỉ là áp lại ngưỡng natri chung, không phải khuyến nghị riêng cho gout. Giữ nguyên giá trị (đã đúng theo WHO 2012 cho dân số chung) nhưng đổi diễn giải nguồn cho trung thực, R2 xác nhận có cần rule riêng cho gout hay xoá vì trùng BASE-NA-01 [R2 xác nhận 2026-08-13: giữ lại rule riêng dù trùng giá trị BASE-NA-01 — vẫn cần cho ca chỉ có GOUT không thuộc BASE, dùng chung nguồn WHO 2012]",strong,verified,secondary,P2,,,
T2DM-FAT-01,T2DM,,fat_g,max,30,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Nguyên văn: 'Lipid: 20 – 30% tổng năng lượng.' Thêm 2026-08-15 (R2 chốt): hồ sơ chỉ có ĐTĐ2 trước đây KHÔNG có rule chất béo nào — HTN-FAT-01 chỉ áp khi có tăng huyết áp. Phát hiện khi siết ràng buộc %E theo kcal thực trong CP-SAT (DEC-031): thực đơn sinh ra đạt 29,7 %E chất béo, đúng phác đồ nhưng hoàn toàn không bị ràng buộc. Cùng loại lỗ hổng với T2DM-PRO-03. Ca THA đồng mắc vẫn để HTN-FAT-01 (trần 25 %E) ghi đè vì chặt hơn",BYT-5481,verified,primary_verified,P2,HTN,,
T2DM-FAT-02,T2DM,,fat_g,min,20,%E,pct_energy,soft,"Bộ Y tế, Quyết định 5481/QĐ-BYT ngày 30/12/2020 — 'Hướng dẫn chẩn đoán và điều trị đái tháo đường típ 2', Phần 4 Điều trị > Tư vấn và hỗ trợ thay đổi lối sống > Dinh dưỡng. Nguyên văn: 'Lipid: 20 – 30% tổng năng lượng.' Thêm 2026-08-15 (R2 chốt): hồ sơ chỉ có ĐTĐ2 trước đây KHÔNG có rule chất béo nào — HTN-FAT-01 chỉ áp khi có tăng huyết áp. Phát hiện khi siết ràng buộc %E theo kcal thực trong CP-SAT (DEC-031): thực đơn sinh ra đạt 29,7 %E chất béo, đúng phác đồ nhưng hoàn toàn không bị ràng buộc. Cùng loại lỗ hổng với T2DM-PRO-03. Ca THA đồng mắc vẫn để HTN-FAT-01 (trần 25 %E) ghi đè vì chặt hơn",BYT-5481,verified,primary_verified,P2,,,
